,timestamp,location,tweet,username,all_hashtags,followers_count
33,2022-01-08 09:59:34+00:00,Pennsylvania USA,b'more desiprivilege at the ; near 50 desidiaspora in bidenharris admin,b'RodneyR58127664',"['DesiPrivilege', 'DesiDiaspora', 'BidenHarris']",255
34,2022-01-08 09:59:32+00:00,latestnewsheadline.com,b'foxnews: white house bragging about biden job gains draws social-media backlash ,b'todaylatestnews',['White'],137
35,2022-01-08 09:59:15+00:00,The Capital Of Kw .,b'the result  the right person  for \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 biden after1year ,b'Osmbannai',"['Biden', 'After1year']",1265
36,2022-01-08 09:59:14+00:00,,"bbiden touts strong december wage increases, brushes off weak job growth  \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'",b'DianeLooper',[],1
37,2022-01-08 09:59:11+00:00,,"b_does_math   omicron has been around for almost 2 months now and only 1 vaccinated has been hospitalized and 1 unvaccinated has died, not sure if either had preexisting",b'Vladamir_Biden',[],3
38,2022-01-08 09:59:10+00:00,,b\xe2\x80\x9che would\xe2\x80\x99ve survived if he took the vaccine\xe2\x80\x9d - probably biden',b'WallStreetDump',[],15
39,2022-01-08 09:59:09+00:00,,b_seidr i\xe2\x80\x99d argue both political parties have fallen into significant fascist ideologies,b'livinthedreaml1',[],22
40,2022-01-08 09:59:04+00:00,United States,"b""  you won't be able to, because biden's brain function is falling faster than a brick""",b'hatetheclueless',[],24
41,2022-01-08 09:58:58+00:00,Hanna barbera Studios,bimpeach president joe biden and vice president kamala harris bidenharris2022 for special day of ultra for usa of winner champion  feb 5th 2022 \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 ,b'Demetrehunter23',['bidenharris2022'],84
42,2022-01-08 09:58:53+00:00,,bwhat surrender? it was a peace agreement and when they did something trump killed them both with a drone strike,b'AntBoggiano',[],0
43,2022-01-08 09:58:52+00:00,,b'former biden advisers call for \xe2\x80\x98new\xe2\x80\x99 covid strategy ,b'micasn',[],133
44,2022-01-08 09:58:49+00:00,Central Luzon,"b""biden's presidency is over",b'Oryang',[],73
45,2022-01-08 09:58:46+00:00,,"b""gop's tweet praising trump for 3",b'Posicho',['SmartNews'],1221
46,2022-01-08 09:58:35+00:00,A Karen from Burma/Myanmar lives in UK,b'tell biden and macron to stop blocking sanctions on gas revenue,b'zoyaphan',[],11837
47,2022-01-08 09:58:34+00:00,,"b\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 president joe biden ""the people\'s president"" thats why i voted for you",b'wins_nikki',[],2
48,2022-01-08 09:58:25+00:00,#Murikkka,b'ustaxpaid by biden the aipac president ,b'paramesvaradeva',"['USTAXPAID', 'biden', 'aipac']",1035
49,2022-01-08 09:58:23+00:00,,"b""soon to come headline: joe biden becomes black panthers's symbolic meme, 'muricans about to blow a gasket""",b'wthevenisthis',[],18
50,2022-01-08 09:58:21+00:00,My Heart Is Always In Texas,"b""stunning photos leak of biden's border crisis ",b'DottieFincham',[],6142
51,2022-01-08 09:58:18+00:00,Turkey,bbut the group of people who voted for biden is not as large as they say they are,b'LouisJMarinelli',[],2390
52,2022-01-08 09:58:15+00:00,"上海, 中华人民共和国","b'biden has been in office for a year, why they still using trump as the headpicture? ",b'zhazhahui010',[],0
53,2022-01-08 09:58:13+00:00,,"b"" this comes down to one thing and one thing only:  can the government for a person to put something in one's body that one does not want?  my answer is no what would it be next?  computer chips the size of rice injected?  stop biden tyranny""",b'Molly4everLoved',[],74
54,2022-01-08 09:58:11+00:00,,b'kleptocracy internal rivalry may bring this racist monster down once n for all n the world will be safer  apartheid racist khazari colony(israel????) in palestine will go bankrupt too without the main sponsor ,b'apoliti63780208',[],231
55,2022-01-08 09:58:09+00:00,,"boh hon, ""treatments"" don\'t prevent disease",b'ChaseNmyTail17',[],32
56,2022-01-08 09:58:07+00:00,"London, England","b'_h20 trump was intentionally funny, biden is unintentionally funny ",b'PercyVader',[],89
57,2022-01-08 09:58:05+00:00,"Hesse, Germany","b'the pressure files remain locked in the drawers, when it comes to the interests of the american left",b'AzeezKhalidS',[],1949
58,2022-01-08 09:57:59+00:00,,"bwhy is it ""biden\'s"" climate agenda",b'SvenSve21385605',[],4
59,2022-01-08 09:57:52+00:00,GOD BLESSED TEXAS WOMEN,"bshow me the proof, a video? and article? what about joe biden that was best friends with the leader of the kkk, that does not bother you? and hillary, she was also friends with the grand wizard, you need to study up ",b'ShellyMarven',[],6116
60,2022-01-08 09:57:52+00:00,,"b"" biden's hate speech to the american people was the most divisive and vicious thing i've ever heard from a president and the fact that democrats are celebrating it is appalling, you're responsible for the great divide in our country & we will vote you out of office""",b'MostoyzwinAl',[],7
61,2022-01-08 09:57:50+00:00,Back Left,"b""_andy    you guys blaming biden already? like there's been no corona? like there's been no trump immediately before him? smh""",b'still_lethal',[],712
62,2022-01-08 09:57:48+00:00,Polygon,b'president biden sends cftc nominations to senate  ~ nftnews nftcommunity crypto ,b'TheCrypty',"['NFTnews', 'NFTCommunity', 'Crypto']",304
63,2022-01-08 09:57:48+00:00,,"b'supreme court seems skeptical of biden\xe2\x80\x99s vaccine rules for businesses, more receptive to policy for health-care workers ",b'micasn',[],133
64,2022-01-08 09:57:44+00:00,,bnancypelosi lied about four officers dying on jan6,b'calrissian_han',"['NancyPelosi', 'Jan6']",16
65,2022-01-08 09:57:35+00:00,"Alaska, USA",bbiden wouldn\xe2\x80\x99t even have to lose because they would still riot.',b'flex_truth',[],20
66,2022-01-08 09:57:14+00:00,"Prescott, AZ",b'schumer escalates pressure on biden to cancel student loans in 2022    the result american taxpayers will pay off the loans for the students why is this hard to understand?',b'PamBrink',[],1578
67,2022-01-08 09:57:14+00:00,,b'i pray for biden and every member of congress and other elected officials every day that they justly and without personal gain govern ethically and morally on behalf of usa citizens,b'MarciaLDyson',[],15476
68,2022-01-08 09:57:14+00:00,"The Hague, The Netherlands","bnew: with today\xe2\x80\x99s new jobs numbers, here is how president biden compares to the past 4 republican presidents at the 11 month mark:  reagan: -138k h",b'MorganEdde',[],147
69,2022-01-08 09:57:11+00:00,,"b""trump melts down over biden's 'very hurtfuljan",b'ZaleskiLuke',[],33053
70,2022-01-08 09:57:08+00:00,"Georgia, USA","b'president joe biden visits colorado fire zone, meets with first responders  foxweather'",b'tornadokid3',['FoxWeather'],3546
71,2022-01-08 09:57:06+00:00,,"bi thought he was going to fix covid, he failed, what about the border crisis, what about afghanistan what about inflation, what about rising gas and grocery prices, what about the massive rise in crime, murder, rape, armed robbery & it just goes on & on, biden has done sweet f",b'RitchingsWayne',[],156
72,2022-01-08 09:57:02+00:00,Potato farm,"boh that was trump, not biden",b'Snorkelybum',[],18
73,2022-01-08 09:56:59+00:00,"Wisconsin, USA","b'biden, back into the breach ",b'dougbevill',[],300
74,2022-01-08 09:56:46+00:00,,"b""youtube removes singer-songwriter john ondrasik's video slamming biden  via """,b'ArnesshpA',[],3869
75,2022-01-08 09:56:45+00:00,,"b'so who actually makes theses reports,the biden coup does,lol,like thevoting machines they are fake,w",b'hwfranzjr',[],1189
76,2022-01-08 09:56:40+00:00,,"b""     finally, this will blow your mind",b'SoulGlo17',[],0
77,2022-01-08 09:56:38+00:00,America,"b""this is wonky",b'RobertKilroy12',"['TedCruz', 'GOP', 'Biden', 'MSNBC', 'FoxNews', 'Breaking', 'NordStream2', 'TedCruz']",57
78,2022-01-08 09:56:34+00:00,,"b""joe biden finding an ant hill on the white house lawn and fucking it because he confused it for jill's ass""",b'gamecubeinmyass',[],128
79,2022-01-08 09:56:31+00:00,Everywhere,bbiden is getting things done with the greater good in mind,b'KurkeMatt',[],41
80,2022-01-08 09:56:31+00:00,CA,bit\xe2\x80\x99s this kind of preventable political subterfuge that undermines biden\xe2\x80\x99s economic poll numbers,b'spunkygaga',[],4466
