timestamp,location,tweet,username,all_hashtags,followers_count
2022-01-16 15:18:01+00:00,Rushden,b'Do you have a habit of dropping your paintbrush into your tin while #Decorating? \xf0\x9f\x8e\xa8  Follow this #TopTip to avoid messy hands and unnecessary paint spills \xf0\x9f\x91\x87  #DIY #HomeHacks #Hacks #LifeHack #DIYHack https://t.co/jYOvKIayYP',b'CommerceW',"['Decorating', 'TopTip', 'DIY', 'HomeHacks', 'Hacks', 'LifeHack', 'DIYHack']",827
2022-01-16 15:13:02+00:00,,"b'https://t.co/72ydOsfxvL This Lifehack guide makes the link between motivation and habits by breaking down different types of habits, the elements of motivation and the connection with our sense of purpose.  #habits #motivation #resetretirement https://t.co/uvEdx2LNvQ'",b'resetretirement',"['habits', 'motivation', 'resetretirement']",286
