timestamp,location,tweet,username,all_hashtags,followers_count
2022-01-15 13:12:50+00:00,"New York, USA",b'Nancy Pelosi and Joe Biden\xe2\x80\x99s son are both criminals. Just like their parents.',b'mliz77',[],8659
2022-01-15 13:12:48+00:00,,"b""Nancy Pelosi's son Paul was involved in FIVE companies probed by the feds | Daily Mail Online Two peas in a pod, if it walks like a duck\xe2\x80\xa6, Chip off the old block, apple does not fall far from the tree\xe2\x80\xa6 Etc. etc. etc.! https://t.co/57025SjQeG""",b'kubitza_mary',[],33
