timestamp,location,tweet,username,all_hashtags,followers_count
2022-01-16 15:41:48+00:00,"black , 24 she/her ",b'jesus \xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/0MqRL2tTUQ',b'missdayagaga',[],1162
2022-01-16 15:41:47+00:00,pfp by alibvii on ig,"b'When I follow her eyes over my shoulder, I see Nick striding toward us, a vision in black and white. He\xe2\x80\x99d opted for a black suit, but Jesus was it tailored for every inch of his wide shoulders and long legs.'",b'breenickbot',[],123
